Name;Title;Publication;Year;G_title;Comment;Meter;Regularity;Rhyme;Type;path
-въ;Звезда, звезда;Цинтия на 1832. М., 1831. С. 132-133;1831;Песня;NA;Я21мд;reg;unrhymed;core;corpus_split//1_v_1832_utf8.txt
???;Что ты, конь-донец лихой;Литературная газета № 13, февраля 14, 1840 С. 298;1840;Конь;NA;Х4ммжмжм;unreg;rhymed;core;corpus_split//2_bp_1840_utf8.txt
???;Ты почем, сердечко;Литературная газета № 61, 31 июля. С. 1365;1840;К сердечку;NA;Х3ж;unreg, сбои, сверхсхемные, амф;occ;core;corpus_split//3_bp_1840_utf8.txt
<Одоевский, А.И>;Как носятся тучи за ветром осенним;Одоевский, А.И. Полное собрание стихотворений князя А.И. Одоевского. СПб., 1883. С. 92;1831;К ***;NA;Аф3;reg;unrhymed;core;corpus_split//4_odoevsky_1831_utf8.txt
N.N.;Ах, знаю я, красавица;Лит.прибав. Рус. Инвалид. 1833, № 20, март 11, С. 159;1833;Русская песня;NA;Я3дм;unreg, cбивается на Я4м в Я3д;rhymed;core;corpus_split//5_NN_1833_utf8.txt
А.Д.;Ветер бурный воет в поле;Вестн. Европы. - 1825. - Май и июнь, N 11. - С.218-219.;1824;Песня;NA;Х223ж;reg;unrhymed;core;corpus_split//6_AD_1824_utf8.txt
Авдуловский;Ляжу я засну;Литературная газета М., 1847. № 16, 16 апреля. С. 254-255;1847;Ляжу я засну;мы получили из Воронежа девять стихотворений от г-на Авдуловского… представим самим читателям сделать заключение о достоинстве этих стихотворений, подобных которым немного на русском языке;Пс;reg;unrhymed;core;corpus_split//7_avdulovsky_1847_utf8.txt
Ал. Бистром;Ласточка летит из-за моря;Лит.прибав. Рус. Инвалид. 1835, № 21, март 13,, С. 167;1835;Песня;NA;Х4д;reg;unrhymed;core;corpus_split//8_bistrom_1835_utf8.txt
Ал. Бистром;В воскресный день все девушки;Календарь муз на 1826 г. СПб., 1826. Стихи. С. 110-111;1826;Песня;NA;Я3дм;reg;occ;core;corpus_split//9_bistrom_1826_utf8.txt
Аладьин, Е.В.;Ах не ветры не осенние;Аладьин, Е.В. Мои досуги. СПб., 1824.;1824;Песня;NA;х4д;reg;occ;core;corpus_split//10_aladyin_1824_utf8.txt
Алипанов;Дуня милая сидела под окном;Стихотворения крестьянина Егора Алипанова. СПб., 1830. С. 23-25;1830;NA;NA;Х6м;reg;rhymed;core;corpus_split//11_alipanov_1830_utf8.txt
Алипанов;Соскучилось Машеньке;Стихотворения крестьянина Егора Алипанова. СПб., 1830. С. 133-1345;1830;Сельская песня;NA;Аф2дм;reg;rhymed;core;corpus_split//16_alipanov_1830_utf8.txt
Алипанов;Над быстрою реченькой;Алипанов, Е.В. Ханский чай. СПб., 1835. С. 11;1835;NA;NA;Аф2дм;reg;rhymed;core;corpus_split//17_alipanov_1835_utf8.txt
Асконченский, В.;Не ходи за старого;Асконченский, В.И. Стихотворения В. Аскоченского. Киев, 1846. С. 102-104;1839;Выбор жениха;NA;Х3дм;reg;rhymed;core;corpus_split//20_askonchensky_1839_utf8.txt
Асконченский, В.;Вишь как рвет как гудит;Асконченский, В.И. Стихотворения В. Аскоченского. Киев, 1846. С. 105-107;1840;Вьюга;NA;Ан2мАн1д;reg;unrhymed;core;corpus_split//21_askonchensky_1840_utf8.txt
Асконченский, В.;Не ходи ко мне;Асконченский, В.И. Стихотворения В. Аскоченского. Киев, 1846. С. 130-133;1843;Русская песня;NA;Пс;unreg, + Ан2м;unrhymed;core;corpus_split//22_askonchensky_1843_utf8.txt
Асконченский, В.;Эх зачем же ты;Асконченский, В.И. Стихотворения В. Аскоченского. Киев, 1846. С. 136-139;1837;Жалоба;NA;Пс;unreg, + Ан2м;unrhymed;core;corpus_split//23_askonchensky_1837_utf8.txt
Асконченский, В.;Что задумался;Асконченский, В.И. Стихотворения В. Аскоченского. Киев, 1846. С. 144-147;1846;Кручина;NA;Пс, Х3ж;reg;occ;core;corpus_split//24_askonchenksy_1846_utf8.txt
Б/П;Настенька в пятнадцать лет;Весенние цветы, подарок для светлого праздника на 1830 г. М., 1830. С. 146-148;1830;Русская песня (на голос: Как у нас было на улице);С. 150-151. Григорий Поликарпович Бубнов, молодой семнадцатилетний  крестьянин, обещает в себе талант к стихотворению. Надеемся, что публике приятно будет узнать, что к именам Слепушкина, Суханова, Борисова присоединится еще одно имя - самоучки Бубнова;Х4м;reg;rhymed;core;corpus_split//28_bp_1830_utf8.txt
Б/П;Где ты звездочка;Эрато, приношение прекрасному полу. М. 1829 г. (тип. Н. Степанова) C. 110-111. ц.р. 1828 мая 18 дня;1828;NA;СМ. БУШМАКИН АХ ТЫ ТУЧА;Пс;reg;unrhymed;core;corpus_split//30_bp_1828_utf8.txt
Бахтурин, К.А.;Не леса шумят не погодушка;Поэты 1820-1830-х гг. Л., 1972. Т.2. С.353-354.;1836;Хор разбойников (из драмы козьма рощин, рязанский разбойник);NA;Пс2 + Пс + Ан4  + Пс;unreg;rhymed;core;corpus_split//31_bakhturin_1836_utf8.txt
Бахтурин, К.А.;Аль опять не видать;Поэты 1820-1830-х гг. Л., 1972. Т.2. С.359-360.;1840;Песнь ямщика;См. отзыв ОЗ 1841, № 3, с. 13;Ан1м + Х3ж;reg;rhymed;core;corpus_split//32_bakhturin_1840_utf8.txt
Башмакин, Н.;Голубочек, что воркуешь;Славянин. 1827. Ч. 1. № 9, С. 140.;1827;Песня, УД;NA;Х4мж;reg;rhymed;core;corpus_split//34_bashmakin_1827_utf8.txt
Башмаков, И.И.;Что ты белый крепкий лен мой;Ваненко, И. Звездочка. М., 1842. С. 63-64;1842;Цикл русские песни;NA;Х42жд;reg;unrhymed;core;corpus_split//35_bashmakov_1842_utf8.txt
Башмаков, И.И.;Скучно мне подруженьки;Ваненко, И. Звездочка. М., 1842. С. 81-82;1842;Цикл русские песни;NA;Х3д;reg;occ;core;corpus_split//36_bashmakov_1842_utf8.txt
Башмаков, И.И.;Ты тоска моя;Ваненко, И. Звездочка. М., 1842. С. 83-84;1842;Цикл русские песни;NA;Пс;reg;unrhymed;core;corpus_split//37_bashmakov_1842_utf8.txt
Башмаков, И.И.;Где ты душечка;Ваненко, И. Звездочка. М., 1842. С. 87-90;1842;Цикл русские песни;NA;Пс;reg;unrhymed;core;corpus_split//38_bashmakov_1842_utf8.txt
Башмаков, И.И.;Не то было время;Ваненко, И. Звездочка. М., 1842. С. 90-92;1842;Цикл русские песни;NA;Х3жм;reg;occ;core;corpus_split//39_bashmakov_1842_utf8.txt
Башмаков, И.И.;То не горлица воркует;Ваненко, И. Звездочка. М., 1842. С. 92-94;1842;Цикл русские песни;NA;Х4жм;reg;rhymed;core;corpus_split//40_bashmakov_1842_utf8.txt
Башмаков, И.И.;Было время времечко;Ваненко, И. Звездочка. М., 1842. С. 94-96;1842;Цикл русские песни;NA;Х32дж;reg;rhymed;core;corpus_split//41_baskmakov_1842_utf8.txt
Башмаков, И.И.;Он ласкал ее;Ваненко, И. Звездочка. М., 1842. С. 97-98;1842;Цикл русские песни;NA;Пс;reg;occ;core;corpus_split//42_bashmakov_1842_utf8.txt
