comparison.primary;comparison.secondary
я;100;99.8449612403101
не;100;100
на;100;100
ты;100;99.8449612403101
в;100;100
мой;100;99.2248062015504
по;100;99.6899224806202
во;100;99.2248062015504
то;100;100
с;100;100
и;100;100
за;100;99.8449612403101
что;100;99.6899224806202
да;100;98.9147286821705
он;100;99.8449612403101
у;100;99.8449612403101
а;100;99.2248062015504
как;100;99.8449612403101
быть;100;99.8449612403101
молодец;100;93.0232558139535
милый;100;92.093023255814
ли;100;97.984496124031
вы;100;88.8372093023256
мы;100;91.1627906976744
со;97.3684210526316;98.4496124031008
красный;100;95.1937984496124
весь;100;98.2945736434109
к;100;97.8294573643411
она;100;95.8139534883721
молодой;86.8421052631579;95.8139534883721
уж;100;96.1240310077519
девица;100;85.5813953488372
белый;100;95.3488372093023
пойти;97.3684210526316;95.6589147286822
свой;100;97.6744186046512
жена;73.6842105263158;72.5581395348837
тот;100;97.0542635658915
девушка;94.7368421052632;85.1162790697674
матушка;92.1052631578947;86.5116279069767
любить;100;77.3643410852713
из;97.3684210526316;94.4186046511628
ко;94.7368421052632;94.7286821705426
друг;100;82.6356589147287
добрый;94.7368421052632;80
сам;86.8421052631579;95.968992248062
идти;97.3684210526316;91.0077519379845
гулять;52.6315789473684;90.2325581395349
ходить;94.7368421052632;89.7674418604651
под;94.7368421052632;90.5426356589147
ни;100;77.3643410852713
конь;97.3684210526316;74.4186046511628
зеленый;81.5789473684211;93.953488372093
бы;100;78.4496124031008
становиться;89.4736842105263;90.8527131782946
батюшка;60.5263157894737;83.4108527131783
ах;100;82.9457364341085
все;100;91.7829457364341
стоять;81.5789473684211;90.3875968992248
девка;50;79.3798449612403
жить;100;82.3255813953488
сказать;97.3684210526316;81.8604651162791
один;100;89.4573643410853
себя;97.3684210526316;88.5271317829457
поле;100;83.5658914728682
кто;100;77.0542635658915
сидеть;92.1052631578947;84.8062015503876
от;100;84.1860465116279
душа;100;79.6899224806202
же;100;85.2713178294574
ка;39.4736842105263;83.7209302325581
они;100;77.0542635658915
наш;97.3684210526316;76.8992248062015
сердце;100;76.1240310077519
говорить;71.0526315789474;87.9069767441861
три;39.4736842105263;83.5658914728682
взять;89.4736842105263;78.4496124031008
твой;100;78.4496124031008
до;97.3684210526316;77.2093023255814
сад;71.0526315789474;77.2093023255814
плакать;97.3684210526316;67.906976744186
муж;57.8947368421053;50.077519379845
без;100;64.031007751938
младой;57.8947368421053;72.7131782945736
рука;97.3684210526316;84.6511627906977
нет;100;72.0930232558139
этот;89.4736842105263;76.8992248062015
мать;100;72.0930232558139
двор;26.3157894736842;76.4341085271318
еще;84.2105263157895;82.6356589147287
два;71.0526315789474;72.5581395348837
родной;94.7368421052632;68.8372093023256
горе;100;70.6976744186046
дружок;78.9473684210526;65.2713178294574
про;76.3157894736842;74.1085271317829
где;97.3684210526316;69.922480620155
тут;44.7368421052632;76.8992248062015
вода;50;69.922480620155
человек;100;71.937984496124
миленький;42.1052631578947;65.7364341085271
ль;100;73.6434108527132
ой;18.4210526315789;62.3255813953488
знать;100;73.3333333333333
новый;36.8421052631579;77.6744186046512
давать;97.3684210526316;80.3100775193798
старый;63.1578947368421;52.5581395348837
гора;65.7894736842105;67.906976744186
хороший;52.6315789473684;72.7131782945736
братец;23.6842105263158;60.4651162790698
лес;92.1052631578947;63.4108527131783
гость;63.1578947368421;63.7209302325581
другой;97.3684210526316;78.1395348837209
город;55.2631578947368;67.5968992248062
голова;57.8947368421053;76.2790697674419
лежать;78.9473684210526;67.906976744186
спать;60.5263157894737;64.4961240310078
река;78.9473684210526;68.8372093023256
вот;86.8421052631579;59.2248062015504
приходить;76.3157894736842;76.2790697674419
улица;28.9473684210526;70.8527131782946
черный;94.7368421052632;72.7131782945736
широкий;86.8421052631579;75.8139534883721
сын;5.26315789473684;55.968992248062
море;68.4210526315789;53.3333333333333
слеза;100;64.1860465116279
свет;100;70.8527131782946
его;86.8421052631579;66.6666666666667
сторона;73.6842105263158;64.8062015503876
темный;97.3684210526316;64.8062015503876
хотеть;86.8421052631579;68.2170542635659
князь;0;21.8604651162791
ворота;63.1578947368421;64.8062015503876
чужой;100;59.5348837209302
при;78.9473684210526;57.3643410852713
замуж;26.3157894736842;53.953488372093
любезный;73.6842105263158;55.3488372093023
высокий;71.0526315789474;71.4728682170543
там;100;64.4961240310078
отец;84.2105263157895;62.6356589147287
выходить;65.7894736842105;70.5426356589147
терем;78.9473684210526;60
добро;94.7368421052632;53.4883720930233
родимый;86.8421052631579;56.1240310077519
только;94.7368421052632;68.3720930232558
радость;100;52.4031007751938
