"CONTROL_SOBOLEVSKY_1" "CONTROL_SOBOLEVSKY_2" "KIREYEVSKY_1" "KIREYEVSKY_2" "PESENNIKI_1" "PESENNIKI_2" "RUSCORPORA_1" "RUSCORPORA_2" "RUSSKIE_PESNI_1" "RUSSKIE_PESNI_2" "SOBOLEVSKY_FULL_1" "SOBOLEVSKY_FULL_2"
"я" 3.88 3.895 3.175 3.215 4.195 4.205 2.455 2.17 3.655 3.75 3.085 3.155
"не" 3.005 3.06 2.86 2.755 2.815 2.78 1.695 1.835 3.35 3.285 2.61 2.665
"в" 1.385 1.435 1.615 1.485 1.83 1.805 2.945 2.83 2.59 2.51 1.51 1.36
"ты" 1.59 1.6 1.84 1.995 2.03 2.015 1.075 1.31 2.475 2.495 1.715 1.905
"на" 2.19 2.105 2.155 2.085 1.785 1.815 1.11 1.305 1.425 1.535 2.265 2.205
"и" 0.82 0.805 0.885 0.825 1.375 1.385 4.665 4.575 2.13 2.055 1.035 0.92
"мой" 1.795 1.795 1.39 1.59 1.75 1.775 0.755 0.685 1.485 1.52 1.365 1.475
"с" 0.875 0.925 1.205 0.985 1.06 1.05 1.27 1.225 1.36 1.385 0.97 0.865
"он" 0.665 0.66 0.75 0.725 0.85 0.85 1.545 1.45 1.07 0.96 0.655 0.895
"по" 1.2 1.23 1.185 1.335 0.92 0.93 0.325 0.275 0.71 0.675 0.995 1.245
"что" 0.84 0.845 0.835 0.86 1.125 1.12 0.8 0.845 1.015 1.115 0.77 0.77
"как" 0.67 0.655 0.745 0.67 0.815 0.81 1.04 1.065 1 0.895 0.635 0.715
"во" 1.055 1.115 1.02 0.91 1.015 1.02 0.175 0.185 0.265 0.295 1.255 1.16
"за" 0.91 0.96 1.13 1.02 0.92 0.93 0.35 0.37 0.52 0.54 0.97 0.805
"то" 0.94 0.955 0.99 0.995 0.77 0.745 0.48 0.435 0.47 0.445 1.03 1.145
"быть" 0.78 0.81 0.725 0.705 0.8 0.8 0.775 0.78 0.67 0.805 0.685 0.78
"у" 0.99 1.035 0.79 0.735 0.71 0.71 0.19 0.185 0.365 0.37 0.79 0.86
"а" 0.62 0.615 0.715 0.725 0.67 0.675 0.4 0.41 0.47 0.48 0.79 0.76
"милый" 0.56 0.51 0.69 0.68 0.8 0.77 0.16 0.16 0.795 0.74 0.69 0.525
