,Source,Target,Weight,Type
1,CONTROL_SOBOLEVSKY_1,CONTROL_SOBOLEVSKY_2,237,undirected
2,CONTROL_SOBOLEVSKY_1,CONTROL_SOBOLEVSKY_3,215,undirected
3,CONTROL_SOBOLEVSKY_1,KIREYEVSKY_1,34,undirected
4,CONTROL_SOBOLEVSKY_1,KIREYEVSKY_3,1,undirected
5,CONTROL_SOBOLEVSKY_1,PESENNIKI_1,3,undirected
6,CONTROL_SOBOLEVSKY_1,PESENNIKI_2,3,undirected
7,CONTROL_SOBOLEVSKY_1,PESENNIKI_3,9,undirected
8,CONTROL_SOBOLEVSKY_1,SOBOLEVSKY_FULL_1,3,undirected
9,CONTROL_SOBOLEVSKY_1,SOBOLEVSKY_FULL_2,7,undirected
10,CONTROL_SOBOLEVSKY_1,SOBOLEVSKY_FULL_3,4,undirected
11,CONTROL_SOBOLEVSKY_2,CONTROL_SOBOLEVSKY_1,237,undirected
12,CONTROL_SOBOLEVSKY_2,CONTROL_SOBOLEVSKY_3,190,undirected
13,CONTROL_SOBOLEVSKY_2,KIREYEVSKY_1,17,undirected
14,CONTROL_SOBOLEVSKY_2,KIREYEVSKY_3,29,undirected
15,CONTROL_SOBOLEVSKY_2,PESENNIKI_3,3,undirected
16,CONTROL_SOBOLEVSKY_2,RUSSKIE_PESNI_1,6,undirected
17,CONTROL_SOBOLEVSKY_2,RUSSKIE_PESNI_2,3,undirected
18,CONTROL_SOBOLEVSKY_2,RUSSKIE_PESNI_3,3,undirected
19,CONTROL_SOBOLEVSKY_3,CONTROL_SOBOLEVSKY_1,215,undirected
20,CONTROL_SOBOLEVSKY_3,CONTROL_SOBOLEVSKY_2,190,undirected
21,CONTROL_SOBOLEVSKY_3,KIREYEVSKY_1,4,undirected
22,CONTROL_SOBOLEVSKY_3,RUSSKIE_PESNI_2,3,undirected
23,CONTROL_SOBOLEVSKY_3,SOBOLEVSKY_FULL_2,8,undirected
24,CONTROL_SOBOLEVSKY_3,SOBOLEVSKY_FULL_3,28,undirected
25,KIREYEVSKY_1,CONTROL_SOBOLEVSKY_1,34,undirected
26,KIREYEVSKY_1,CONTROL_SOBOLEVSKY_2,17,undirected
27,KIREYEVSKY_1,CONTROL_SOBOLEVSKY_3,4,undirected
28,KIREYEVSKY_1,KIREYEVSKY_2,193,undirected
29,KIREYEVSKY_1,KIREYEVSKY_3,249,undirected
30,KIREYEVSKY_1,PESENNIKI_1,13,undirected
31,KIREYEVSKY_1,PESENNIKI_2,13,undirected
32,KIREYEVSKY_1,PESENNIKI_3,34,undirected
33,KIREYEVSKY_1,SOBOLEVSKY_FULL_1,24,undirected
34,KIREYEVSKY_1,SOBOLEVSKY_FULL_2,80,undirected
35,KIREYEVSKY_1,SOBOLEVSKY_FULL_3,18,undirected
36,KIREYEVSKY_2,KIREYEVSKY_1,193,undirected
37,KIREYEVSKY_2,KIREYEVSKY_3,142,undirected
38,KIREYEVSKY_2,RUSCORPORA_1,3,undirected
39,KIREYEVSKY_2,RUSCORPORA_2,3,undirected
40,KIREYEVSKY_2,RUSCORPORA_3,3,undirected
41,KIREYEVSKY_2,SOBOLEVSKY_FULL_1,17,undirected
42,KIREYEVSKY_2,SOBOLEVSKY_FULL_2,25,undirected
43,KIREYEVSKY_2,SOBOLEVSKY_FULL_3,54,undirected
44,KIREYEVSKY_3,CONTROL_SOBOLEVSKY_1,1,undirected
45,KIREYEVSKY_3,CONTROL_SOBOLEVSKY_2,29,undirected
46,KIREYEVSKY_3,KIREYEVSKY_1,249,undirected
47,KIREYEVSKY_3,KIREYEVSKY_2,142,undirected
48,KIREYEVSKY_3,PESENNIKI_1,4,undirected
49,KIREYEVSKY_3,PESENNIKI_2,11,undirected
50,KIREYEVSKY_3,PESENNIKI_3,2,undirected
51,KIREYEVSKY_3,SOBOLEVSKY_FULL_1,70,undirected
52,KIREYEVSKY_3,SOBOLEVSKY_FULL_2,34,undirected
53,KIREYEVSKY_3,SOBOLEVSKY_FULL_3,18,undirected
54,PESENNIKI_1,CONTROL_SOBOLEVSKY_1,3,undirected
55,PESENNIKI_1,KIREYEVSKY_1,13,undirected
56,PESENNIKI_1,KIREYEVSKY_3,4,undirected
57,PESENNIKI_1,PESENNIKI_2,250,undirected
58,PESENNIKI_1,PESENNIKI_3,179,undirected
59,PESENNIKI_1,RUSSKIE_PESNI_1,7,undirected
60,PESENNIKI_1,RUSSKIE_PESNI_3,7,undirected
61,PESENNIKI_1,SOBOLEVSKY_FULL_1,3,undirected
62,PESENNIKI_1,SOBOLEVSKY_FULL_3,20,undirected
63,PESENNIKI_2,CONTROL_SOBOLEVSKY_1,3,undirected
64,PESENNIKI_2,KIREYEVSKY_1,13,undirected
65,PESENNIKI_2,KIREYEVSKY_3,11,undirected
66,PESENNIKI_2,PESENNIKI_1,250,undirected
67,PESENNIKI_2,PESENNIKI_3,216,undirected
68,PESENNIKI_2,RUSSKIE_PESNI_3,2,undirected
69,PESENNIKI_2,SOBOLEVSKY_FULL_2,2,undirected
70,PESENNIKI_2,SOBOLEVSKY_FULL_3,14,undirected
71,PESENNIKI_3,CONTROL_SOBOLEVSKY_1,9,undirected
72,PESENNIKI_3,CONTROL_SOBOLEVSKY_2,3,undirected
73,PESENNIKI_3,KIREYEVSKY_1,34,undirected
74,PESENNIKI_3,KIREYEVSKY_3,2,undirected
