,Source,Target,Weight,Type
1,CONTROL_SOBOLEVSKY_1,CONTROL_SOBOLEVSKY_2,215,undirected
2,CONTROL_SOBOLEVSKY_1,CONTROL_SOBOLEVSKY_3,243,undirected
3,CONTROL_SOBOLEVSKY_1,KIREYEVSKY_2,35,undirected
4,CONTROL_SOBOLEVSKY_1,KIREYEVSKY_3,2,undirected
5,CONTROL_SOBOLEVSKY_1,PESENNIKI_1,9,undirected
6,CONTROL_SOBOLEVSKY_1,PESENNIKI_2,3,undirected
7,CONTROL_SOBOLEVSKY_1,SOBOLEVSKY_FULL_1,2,undirected
8,CONTROL_SOBOLEVSKY_1,SOBOLEVSKY_FULL_3,1,undirected
9,CONTROL_SOBOLEVSKY_2,CONTROL_SOBOLEVSKY_1,215,undirected
10,CONTROL_SOBOLEVSKY_2,CONTROL_SOBOLEVSKY_3,163,undirected
11,CONTROL_SOBOLEVSKY_2,KIREYEVSKY_2,27,undirected
12,CONTROL_SOBOLEVSKY_2,KIREYEVSKY_3,11,undirected
13,CONTROL_SOBOLEVSKY_2,RUSSKIE_PESNI_1,15,undirected
14,CONTROL_SOBOLEVSKY_2,RUSSKIE_PESNI_2,12,undirected
15,CONTROL_SOBOLEVSKY_2,RUSSKIE_PESNI_3,12,undirected
16,CONTROL_SOBOLEVSKY_2,SOBOLEVSKY_FULL_1,2,undirected
17,CONTROL_SOBOLEVSKY_3,CONTROL_SOBOLEVSKY_1,243,undirected
18,CONTROL_SOBOLEVSKY_3,CONTROL_SOBOLEVSKY_2,163,undirected
19,CONTROL_SOBOLEVSKY_3,KIREYEVSKY_2,11,undirected
20,CONTROL_SOBOLEVSKY_3,KIREYEVSKY_3,4,undirected
21,CONTROL_SOBOLEVSKY_3,PESENNIKI_1,12,undirected
22,CONTROL_SOBOLEVSKY_3,PESENNIKI_2,6,undirected
23,CONTROL_SOBOLEVSKY_3,PESENNIKI_3,12,undirected
24,CONTROL_SOBOLEVSKY_3,SOBOLEVSKY_FULL_1,14,undirected
25,CONTROL_SOBOLEVSKY_3,SOBOLEVSKY_FULL_3,11,undirected
26,KIREYEVSKY_1,KIREYEVSKY_2,180,undirected
27,KIREYEVSKY_1,KIREYEVSKY_3,233,undirected
28,KIREYEVSKY_1,PESENNIKI_2,3,undirected
29,KIREYEVSKY_1,PESENNIKI_3,3,undirected
30,KIREYEVSKY_1,SOBOLEVSKY_FULL_1,9,undirected
31,KIREYEVSKY_1,SOBOLEVSKY_FULL_2,5,undirected
32,KIREYEVSKY_1,SOBOLEVSKY_FULL_3,52,undirected
33,KIREYEVSKY_2,CONTROL_SOBOLEVSKY_1,35,undirected
34,KIREYEVSKY_2,CONTROL_SOBOLEVSKY_2,27,undirected
35,KIREYEVSKY_2,CONTROL_SOBOLEVSKY_3,11,undirected
36,KIREYEVSKY_2,KIREYEVSKY_1,180,undirected
37,KIREYEVSKY_2,KIREYEVSKY_3,215,undirected
38,KIREYEVSKY_2,PESENNIKI_1,17,undirected
39,KIREYEVSKY_2,PESENNIKI_2,2,undirected
40,KIREYEVSKY_2,PESENNIKI_3,12,undirected
41,KIREYEVSKY_2,SOBOLEVSKY_FULL_1,32,undirected
42,KIREYEVSKY_2,SOBOLEVSKY_FULL_2,47,undirected
43,KIREYEVSKY_2,SOBOLEVSKY_FULL_3,35,undirected
44,KIREYEVSKY_3,CONTROL_SOBOLEVSKY_1,2,undirected
45,KIREYEVSKY_3,CONTROL_SOBOLEVSKY_2,11,undirected
