"CONTROL_SOBOLEVSKY_1" "CONTROL_SOBOLEVSKY_2" "CONTROL_SOBOLEVSKY_3" "KIREYEVSKY_1" "KIREYEVSKY_2" "KIREYEVSKY_3" "PESENNIKI_1" "PESENNIKI_2" "PESENNIKI_3" "RUSCORPORA_1" "RUSCORPORA_2" "RUSCORPORA_3" "RUSSKIE_PESNI_1" "RUSSKIE_PESNI_2" "RUSSKIE_PESNI_3" "SOBOLEVSKY_FULL_1" "SOBOLEVSKY_FULL_2" "SOBOLEVSKY_FULL_3"
"я" 3.87 3.81 4.1 3.29 3.23 3.24 4.07 4.17 4.3 2.24 2.4 2.25 3.99 3.93 3.81 3.2 3.07 3.49
"не" 2.84 3.16 2.88 2.73 2.78 2.6 2.65 2.64 3 1.61 1.62 1.9 3.18 3.25 3.37 2.5 2.39 2.51
"в" 1.36 1.35 1.45 1.61 1.43 1.74 1.91 1.94 1.88 2.62 2.44 3.06 2.57 2.21 2.43 1.42 1.66 1.46
"ты" 1.57 1.49 1.66 1.86 1.74 1.74 2.12 1.95 1.97 1.37 1.18 1.15 2.47 2.46 2.52 1.73 1.79 2.02
"на" 1.99 2.1 1.99 2.05 1.98 2.13 1.79 1.89 1.93 1.08 1.2 1.33 1.52 1.27 1.56 2.15 2.28 2.27
"и" 0.74 0.84 0.81 0.9 0.85 0.85 1.3 1.43 1.47 4.37 4.91 4.78 1.99 2.06 2 1.05 1.02 1.01
"мой" 1.85 1.77 1.96 1.35 1.42 1.56 1.72 1.65 1.85 0.69 0.68 0.73 1.53 1.53 1.62 1.51 1.25 1.61
"с" 0.84 0.91 0.99 1.17 1.18 1.17 1.02 1.04 1.08 1.2 1.33 1.26 1.48 1.5 1.48 0.98 0.9 1.08
"что" 0.83 0.95 0.66 0.79 0.91 0.64 1.1 1.15 1.31 0.79 0.69 0.91 1.13 1.05 1.06 0.78 0.89 0.85
"он" 0.6 0.61 0.74 0.82 0.72 0.77 0.8 0.83 0.81 1.29 1.61 1.4 0.98 1.03 0.88 0.76 0.84 0.85
"по" 1.34 1.1 1.27 1.15 1.29 1.29 1.06 0.97 0.85 0.38 0.31 0.31 0.58 0.48 0.65 0.94 1.08 1.1
"быть" 0.78 0.95 0.85 0.68 0.83 0.68 0.86 0.73 0.92 0.92 0.8 0.88 0.89 0.62 0.72 0.75 0.72 0.68
"во" 1.02 1.13 1.01 1.17 0.97 1.11 1.02 1.12 0.91 0.22 0.19 0.21 0.28 0.23 0.27 1.22 1.01 1.04
"то" 0.95 0.88 0.84 0.88 0.96 1.03 0.7 0.8 0.79 0.46 0.55 0.39 0.44 0.41 0.5 0.98 1.35 1.19
"как" 0.62 0.72 0.67 0.69 0.65 0.56 0.85 0.78 0.84 0.87 0.8 0.91 0.89 0.84 0.9 0.79 0.79 0.69
"за" 0.89 0.99 1.02 1.06 0.88 0.88 0.82 0.84 1.08 0.42 0.29 0.37 0.46 0.44 0.54 0.85 0.91 0.98
"у" 1.01 0.93 1.07 0.75 0.81 0.76 0.81 0.73 0.72 0.24 0.15 0.13 0.25 0.36 0.4 0.83 0.75 0.89
"а" 0.6 0.64 0.68 0.63 0.82 0.76 0.72 0.57 0.7 0.42 0.37 0.48 0.49 0.53 0.49 0.76 0.73 0.81
"милый" 0.51 0.56 0.52 0.73 0.65 0.66 0.77 0.87 0.79 0.2 0.2 0.2 0.63 0.75 0.73 0.67 0.48 0.74
"да" 1.11 1.01 1.12 0.44 0.62 0.53 0.36 0.34 0.43 0.19 0.18 0.16 0.33 0.37 0.3 0.77 0.87 0.82
"ли" 0.62 0.48 0.5 0.5 0.55 0.54 0.59 0.52 0.42 0.21 0.17 0.19 0.47 0.53 0.49 0.52 0.57 0.59
"молодец" 0.59 0.55 0.45 0.57 0.65 0.48 0.43 0.44 0.53 0.03 0.01 0.02 0.48 0.5 0.35 0.79 0.72 0.64
"к" 0.36 0.38 0.38 0.37 0.51 0.51 0.49 0.47 0.52 0.52 0.49 0.53 0.5 0.48 0.49 0.41 0.43 0.33
"она" 0.24 0.33 0.25 0.45 0.45 0.35 0.37 0.41 0.28 0.79 0.53 0.65 0.6 0.68 0.54 0.38 0.37 0.41
"весь" 0.43 0.42 0.34 0.39 0.54 0.54 0.52 0.48 0.41 0.45 0.5 0.4 0.4 0.37 0.44 0.4 0.41 0.42
"вы" 0.3 0.36 0.35 0.54 0.47 0.44 0.52 0.4 0.42 0.37 0.44 0.4 0.43 0.39 0.33 0.42 0.59 0.59
"мы" 0.29 0.24 0.32 0.46 0.41 0.46 0.27 0.36 0.25 0.46 0.52 0.61 0.46 0.45 0.47 0.5 0.46 0.43
"свой" 0.36 0.31 0.33 0.38 0.38 0.37 0.42 0.37 0.37 0.55 0.5 0.55 0.34 0.35 0.27 0.29 0.39 0.38
"красный" 0.32 0.34 0.24 0.41 0.43 0.56 0.48 0.53 0.4 0.01 0.06 0.03 0.52 0.47 0.51 0.5 0.5 0.39
"друг" 0.35 0.25 0.36 0.36 0.27 0.25 0.45 0.36 0.38 0.28 0.31 0.23 0.77 0.62 0.68 0.28 0.22 0.27
"ах" 0.26 0.3 0.26 0.17 0.13 0.14 0.89 0.79 0.82 0.06 0.07 0.05 0.55 0.53 0.54 0.28 0.26 0.26
"тот" 0.3 0.26 0.32 0.41 0.34 0.26 0.4 0.44 0.45 0.3 0.33 0.35 0.34 0.33 0.34 0.42 0.36 0.33
"бы" 0.7 0.62 0.56 0.29 0.22 0.32 0.33 0.42 0.36 0.13 0.18 0.12 0.37 0.27 0.34 0.35 0.18 0.21
"девица" 0.28 0.28 0.24 0.22 0.31 0.32 0.46 0.48 0.53 0.03 0.02 0.01 0.56 0.5 0.52 0.42 0.48 0.31
"уж" 0.35 0.42 0.33 0.54 0.38 0.47 0.27 0.23 0.2 0.24 0.23 0.25 0.29 0.34 0.27 0.33 0.37 0.34
"со" 0.34 0.32 0.29 0.4 0.3 0.36 0.39 0.4 0.41 0.19 0.11 0.09 0.24 0.21 0.15 0.53 0.51 0.55
"любить" 0.27 0.3 0.27 0.36 0.34 0.45 0.53 0.45 0.39 0.22 0.15 0.22 0.32 0.24 0.36 0.27 0.23 0.41
"сердце" 0.25 0.24 0.21 0.15 0.23 0.15 0.27 0.28 0.3 0.2 0.26 0.34 0.82 0.73 0.74 0.21 0.19 0.15
"все" 0.16 0.17 0.19 0.3 0.23 0.25 0.28 0.31 0.3 0.46 0.46 0.48 0.42 0.46 0.5 0.22 0.18 0.23
"белый" 0.43 0.41 0.36 0.58 0.45 0.41 0.32 0.25 0.25 0.03 0.05 0.03 0.26 0.27 0.25 0.24 0.31 0.39
"из" 0.27 0.26 0.28 0.23 0.25 0.25 0.41 0.37 0.34 0.33 0.27 0.17 0.18 0.24 0.18 0.46 0.39 0.38
"матушка" 0.68 0.54 0.61 0.39 0.41 0.38 0.2 0.28 0.31 0.02 0 0 0.13 0.13 0.07 0.38 0.32 0.3
"ни" 0.23 0.22 0.33 0.52 0.35 0.4 0.28 0.28 0.26 0.26 0.14 0.24 0.24 0.31 0.31 0.23 0.25 0.14
"пойти" 0.31 0.29 0.33 0.37 0.45 0.49 0.23 0.31 0.24 0.02 0.02 0.05 0.12 0.16 0.13 0.41 0.33 0.49
"молодой" 0.3 0.33 0.28 0.46 0.38 0.42 0.31 0.27 0.24 0.04 0.06 0.04 0.09 0.08 0.11 0.34 0.47 0.38
"от" 0.21 0.18 0.25 0.15 0.23 0.19 0.2 0.15 0.16 0.32 0.35 0.3 0.45 0.53 0.33 0.24 0.17 0.15
"они" 0.11 0.12 0.13 0.13 0.18 0.16 0.24 0.23 0.23 0.51 0.58 0.6 0.3 0.23 0.27 0.14 0.21 0.16
"твой" 0.12 0.17 0.14 0.21 0.18 0.27 0.23 0.3 0.27 0.3 0.44 0.37 0.35 0.4 0.32 0.13 0.16 0.15
"кто" 0.36 0.32 0.36 0.18 0.24 0.13 0.13 0.19 0.15 0.39 0.31 0.25 0.25 0.28 0.29 0.28 0.17 0.2
"душа" 0.09 0.05 0.07 0.27 0.16 0.16 0.2 0.23 0.2 0.33 0.3 0.37 0.49 0.43 0.49 0.16 0.14 0.23
"один" 0.15 0.2 0.19 0.25 0.32 0.23 0.24 0.21 0.24 0.26 0.27 0.32 0.26 0.26 0.25 0.18 0.23 0.24
"сам" 0.29 0.35 0.37 0.23 0.21 0.32 0.34 0.22 0.25 0.24 0.15 0.12 0.07 0.1 0.13 0.26 0.31 0.27
"девушка" 0.29 0.31 0.36 0.43 0.49 0.43 0.17 0.15 0.2 0 0.01 0.01 0.1 0.15 0.08 0.42 0.27 0.35
"ко" 0.33 0.35 0.27 0.2 0.31 0.34 0.23 0.25 0.28 0.06 0.06 0.04 0.14 0.16 0.14 0.33 0.31 0.35
"под" 0.18 0.26 0.19 0.33 0.23 0.33 0.21 0.21 0.19 0.14 0.2 0.22 0.18 0.23 0.2 0.23 0.22 0.32
"себя" 0.32 0.28 0.25 0.19 0.27 0.23 0.24 0.32 0.24 0.17 0.19 0.12 0.21 0.1 0.21 0.18 0.23 0.31
"без" 0.13 0.23 0.14 0.18 0.24 0.14 0.1 0.06 0.09 0.26 0.19 0.24 0.47 0.51 0.5 0.2 0.17 0.17
"сказать" 0.14 0.14 0.18 0.32 0.27 0.24 0.26 0.33 0.3 0.16 0.18 0.16 0.22 0.21 0.22 0.2 0.26 0.19
"ходить" 0.29 0.26 0.24 0.34 0.27 0.33 0.3 0.31 0.33 0.04 0.01 0.02 0.09 0.14 0.14 0.2 0.38 0.27
"гулять" 0.29 0.32 0.3 0.31 0.25 0.38 0.32 0.29 0.29 0.01 0.02 0 0.05 0.06 0.04 0.3 0.35 0.35
"батюшка" 0.46 0.53 0.55 0.22 0.25 0.25 0.21 0.2 0.22 0 0.02 0 0.11 0.07 0.08 0.26 0.26 0.22
"зеленый" 0.28 0.28 0.38 0.34 0.34 0.36 0.25 0.24 0.22 0.02 0.02 0.03 0.11 0.09 0.09 0.21 0.38 0.23
"идти" 0.15 0.11 0.18 0.28 0.3 0.31 0.31 0.34 0.3 0.1 0.07 0.15 0.04 0.07 0.09 0.4 0.27 0.33
"жить" 0.16 0.17 0.16 0.22 0.19 0.23 0.18 0.18 0.2 0.23 0.11 0.16 0.36 0.3 0.22 0.2 0.33 0.15
"жена" 0.32 0.38 0.33 0.39 0.26 0.3 0.15 0.1 0.13 0.04 0.05 0.03 0.05 0.06 0.06 0.34 0.4 0.32
"добрый" 0.18 0.24 0.18 0.2 0.23 0.2 0.22 0.23 0.14 0.08 0.06 0.03 0.21 0.27 0.21 0.39 0.31 0.31
"становиться" 0.25 0.28 0.24 0.32 0.26 0.3 0.24 0.14 0.13 0.14 0.12 0.09 0.21 0.17 0.11 0.25 0.26 0.16
"девка" 0.3 0.21 0.27 0.37 0.41 0.35 0.25 0.3 0.25 0 0 0 0.04 0.05 0.02 0.22 0.33 0.23
"нет" 0.14 0.09 0.1 0.11 0.17 0.16 0.15 0.17 0.16 0.26 0.28 0.25 0.32 0.33 0.34 0.21 0.13 0.14
"поле" 0.24 0.23 0.26 0.2 0.19 0.15 0.15 0.18 0.13 0.16 0.06 0.16 0.26 0.18 0.32 0.19 0.23 0.2
"рука" 0.25 0.16 0.25 0.18 0.17 0.1 0.21 0.18 0.27 0.15 0.24 0.31 0.1 0.13 0.13 0.25 0.18 0.21
"говорить" 0.27 0.3 0.31 0.24 0.16 0.19 0.21 0.19 0.18 0.16 0.12 0.13 0.07 0.11 0.11 0.23 0.14 0.24
"же" 0.22 0.14 0.18 0.28 0.13 0.22 0.06 0.05 0.03 0.18 0.34 0.09 0.31 0.23 0.19 0.17 0.28 0.15
"ль" 0.21 0.15 0.13 0.09 0.16 0.15 0.28 0.26 0.29 0.11 0.16 0.1 0.31 0.3 0.22 0.11 0.1 0.1
"знать" 0.11 0.14 0.12 0.14 0.14 0.15 0.18 0.26 0.2 0.23 0.15 0.19 0.23 0.26 0.24 0.13 0.16 0.18
"где" 0.17 0.19 0.17 0.16 0.13 0.13 0.11 0.13 0.12 0.23 0.33 0.21 0.26 0.24 0.19 0.18 0.14 0.08
"плакать" 0.29 0.24 0.34 0.28 0.28 0.37 0.08 0.08 0.07 0.04 0.03 0.06 0.12 0.13 0.13 0.21 0.2 0.22
"свет" 0.2 0.12 0.15 0.13 0.13 0.11 0.18 0.11 0.2 0.2 0.16 0.18 0.35 0.38 0.27 0.08 0.13 0.08
"конь" 0.12 0.12 0.16 0.32 0.29 0.15 0.07 0.1 0.16 0.06 0.04 0.09 0.2 0.15 0.16 0.29 0.35 0.26
"но" 0.01 0 0.01 0.01 0 0 0.05 0.04 0.05 0.65 0.75 0.6 0.36 0.18 0.3 0 0.01 0
"человек" 0.23 0.27 0.18 0.15 0.15 0.11 0.1 0.16 0.12 0.13 0.13 0.18 0.27 0.19 0.29 0.11 0.1 0.15
"стоять" 0.13 0.14 0.1 0.25 0.2 0.22 0.22 0.27 0.25 0.09 0.06 0.03 0.11 0.07 0.04 0.33 0.29 0.2
"так" 0.03 0.01 0.03 0.02 0.03 0.06 0.1 0.17 0.14 0.46 0.35 0.36 0.28 0.27 0.4 0.11 0.09 0.09
"муж" 0.46 0.41 0.45 0.21 0.15 0.17 0.13 0.12 0.13 0.02 0.02 0.03 0.03 0.02 0.03 0.19 0.16 0.25
"взять" 0.26 0.21 0.32 0.19 0.19 0.22 0.14 0.15 0.16 0.02 0.08 0.07 0.13 0.11 0.15 0.16 0.22 0.17
"младой" 0.26 0.24 0.21 0.16 0.13 0.16 0.34 0.3 0.28 0.07 0.09 0.03 0.02 0.07 0.09 0.22 0.16 0.12
"сидеть" 0.11 0.14 0.11 0.3 0.21 0.23 0.22 0.19 0.22 0.11 0.09 0.1 0.12 0.1 0.11 0.24 0.16 0.17
"сад" 0.23 0.3 0.27 0.24 0.2 0.32 0.14 0.16 0.18 0.04 0.02 0.02 0.08 0.03 0.1 0.21 0.19 0.17
"слеза" 0.21 0.19 0.14 0.12 0.1 0.09 0.13 0.15 0.11 0.13 0.08 0.14 0.29 0.34 0.36 0.11 0.09 0.08
"давать" 0.14 0.14 0.12 0.12 0.16 0.12 0.13 0.1 0.14 0.14 0.16 0.16 0.18 0.17 0.24 0.11 0.22 0.09
"вода" 0.24 0.19 0.21 0.11 0.13 0.22 0.17 0.22 0.15 0.12 0.12 0.09 0.08 0.04 0.05 0.12 0.12 0.24
"мать" 0.23 0.32 0.31 0.08 0.16 0.13 0.15 0.07 0.09 0.07 0.05 0.06 0.2 0.1 0.15 0.09 0.14 0.15
"день" 0.05 0.07 0.01 0.11 0.06 0.06 0.11 0.11 0.11 0.26 0.3 0.25 0.21 0.37 0.31 0.08 0.04 0.03
"ночь" 0.12 0.13 0.14 0.14 0.14 0.1 0.07 0.09 0.09 0.17 0.16 0.18 0.24 0.27 0.24 0.07 0.1 0.07
"радость" 0.15 0.15 0.12 0.1 0.1 0.02 0.21 0.25 0.22 0.11 0.13 0.06 0.17 0.23 0.28 0.07 0.06 0.07
"наш" 0.1 0.09 0.07 0.2 0.1 0.2 0.16 0.09 0.11 0.13 0.16 0.2 0.08 0.15 0.1 0.17 0.18 0.2
"родной" 0.18 0.27 0.19 0.12 0.17 0.19 0.11 0.08 0.1 0.1 0.04 0.09 0.09 0.2 0.08 0.14 0.12 0.22
"там" 0.08 0.09 0.1 0.12 0.07 0.09 0.13 0.06 0.12 0.28 0.25 0.23 0.18 0.22 0.12 0.11 0.05 0.11
"до" 0.08 0.09 0.05 0.19 0.15 0.19 0.05 0.09 0.11 0.07 0.14 0.06 0.09 0.2 0.18 0.14 0.24 0.24
"другой" 0.19 0.16 0.13 0.1 0.08 0.1 0.09 0.16 0.1 0.16 0.14 0.16 0.13 0.15 0.2 0.15 0.08 0.08
"чужой" 0.33 0.33 0.39 0.15 0.14 0.15 0.03 0.09 0.05 0.03 0.05 0.04 0.13 0.11 0.15 0.06 0.07 0.05
"двор" 0.21 0.19 0.25 0.2 0.17 0.2 0.19 0.22 0.21 0.04 0.01 0.01 0.02 0.01 0.02 0.12 0.14 0.12
"горе" 0.17 0.14 0.11 0.11 0.14 0.11 0.11 0.1 0.1 0.02 0.08 0.05 0.21 0.19 0.25 0.09 0.18 0.14
"сторона" 0.28 0.31 0.25 0.15 0.21 0.12 0.13 0.05 0.1 0.01 0.05 0.01 0.11 0.06 0.11 0.09 0.13 0.12
"еще" 0.2 0.19 0.15 0.11 0.11 0.18 0.09 0.04 0.1 0.11 0.17 0.06 0.08 0.09 0.07 0.16 0.28 0.08
"лес" 0.13 0.12 0.13 0.13 0.17 0.09 0.1 0.17 0.12 0.1 0.06 0.07 0.21 0.1 0.16 0.11 0.15 0.14
"любовь" 0.01 0.05 0.04 0.09 0.08 0.08 0.15 0.12 0.12 0.17 0.29 0.23 0.18 0.23 0.23 0.04 0.08 0.06
"о" 0.05 0.03 0.04 0.03 0.05 0.02 0.08 0.03 0.05 0.4 0.39 0.32 0.27 0.19 0.22 0.01 0.05 0.02
"старый" 0.27 0.28 0.25 0.1 0.19 0.09 0.18 0.16 0.16 0.04 0 0.03 0.01 0.03 0.06 0.12 0.16 0.09
"этот" 0.22 0.16 0.17 0.13 0.14 0.15 0.02 0.03 0.02 0.1 0.14 0.18 0.05 0.06 0.05 0.16 0.19 0.21
"гость" 0.23 0.23 0.2 0.14 0.1 0.12 0.13 0.14 0.11 0.03 0.1 0.01 0.04 0.07 0.06 0.13 0.12 0.15
"три" 0.16 0.2 0.13 0.22 0.21 0.14 0.11 0.14 0.1 0.01 0.03 0.03 0.01 0.03 0.04 0.15 0.17 0.21
"земля" 0.04 0.05 0.06 0.08 0.13 0.09 0.05 0.1 0.07 0.12 0.14 0.17 0.28 0.21 0.18 0.11 0.07 0.12
"дружок" 0.11 0.14 0.07 0.29 0.29 0.35 0.07 0.06 0.05 0 0 0 0.09 0.09 0.08 0.06 0.13 0.18
"черный" 0.1 0.1 0.11 0.1 0.15 0.11 0.21 0.21 0.24 0.05 0.04 0.04 0.09 0.09 0.11 0.1 0.08 0.12
"ясный" 0.12 0.12 0.09 0.1 0.1 0.1 0.1 0.09 0.11 0.06 0.05 0.05 0.28 0.18 0.25 0.05 0.09 0.11
"при" 0.15 0.16 0.14 0.13 0.14 0.11 0.19 0.11 0.16 0.06 0.1 0.05 0.07 0.1 0.1 0.09 0.11 0.07
"ж" 0.1 0.09 0.07 0.11 0.13 0.11 0.06 0.1 0.09 0.15 0.17 0.15 0.13 0.15 0.17 0.08 0.09 0.06
"море" 0.11 0.13 0.13 0.1 0.06 0.11 0.21 0.14 0.17 0.11 0.07 0.06 0.08 0.06 0.07 0.12 0.13 0.12
