,Source,Target,Weight,Type
1,CONTROL_SOBOLEVSKY,KIREYEVSKY,4,undirected
2,CONTROL_SOBOLEVSKY,PESENNIKI,2,undirected
3,CONTROL_SOBOLEVSKY,SOBOLEVSKY_FULL,5,undirected
4,KIREYEVSKY,CONTROL_SOBOLEVSKY,4,undirected
5,KIREYEVSKY,PESENNIKI,4,undirected
6,KIREYEVSKY,RUSSKIE_PESNI,1,undirected
7,KIREYEVSKY,SOBOLEVSKY_FULL,6,undirected
8,PESENNIKI,CONTROL_SOBOLEVSKY,2,undirected
9,PESENNIKI,KIREYEVSKY,4,undirected
10,PESENNIKI,RUSCORPORA,2,undirected
11,PESENNIKI,RUSSKIE_PESNI,2,undirected
12,PESENNIKI,SOBOLEVSKY_FULL,3,undirected
13,RUSCORPORA,PESENNIKI,2,undirected
14,RUSCORPORA,RUSSKIE_PESNI,6,undirected
15,RUSCORPORA,SOBOLEVSKY_FULL,1,undirected
16,RUSSKIE_PESNI,KIREYEVSKY,1,undirected
17,RUSSKIE_PESNI,PESENNIKI,2,undirected
18,RUSSKIE_PESNI,RUSCORPORA,6,undirected
19,SOBOLEVSKY_FULL,CONTROL_SOBOLEVSKY,5,undirected
20,SOBOLEVSKY_FULL,KIREYEVSKY,6,undirected
21,SOBOLEVSKY_FULL,PESENNIKI,3,undirected
22,SOBOLEVSKY_FULL,RUSCORPORA,1,undirected
