"CONTROL_SOBOLEVSKY" "KIREYEVSKY" "PESENNIKI" "RUSCORPORA" "RUSSKIE_PESNI" "SOBOLEVSKY_FULL"
"и" 0.830342985896687 0.841538399710646 1.37307598338627 4.60789561010073 2.10790764445508 0.95868008589529
"я" 3.88884252691313 3.21826146364988 4.20229660395798 2.2474014922018 3.88802488335925 3.23922296858403
"в" 1.45205708086456 1.53839971064582 1.81773760078182 2.8568064312399 2.51465486302189 1.50144814568575
"не" 3.00425602937495 2.76092111079854 2.799902272172 1.73626350100087 3.37121665270965 2.65423324697953
"на" 2.10715179838104 2.08093879355383 1.78353286098216 1.2345454350828 1.46907524823543 2.13572831411388
"ты" 1.61478761578903 1.81971627215368 2.01807964817982 1.20692792686713 2.46201698767795 1.84457079101615
"он" 0.642576984060753 0.699272595748101 0.850232103591498 1.43123989766536 0.995334370139969 0.789984486882628
"с" 0.930484853542519 1.13651890849174 1.04568775958954 1.2710476455539 1.46907524823543 0.961354761304325
"мой" 1.81924392889927 1.54884861150183 1.76887368678231 0.748509403868592 1.53606890776409 1.43744698411243
"как" 0.688475340065092 0.68239360205763 0.811140972391889 0.965916997612905 0.890058619452088 0.76361982927929
"быть" 0.801134941166653 0.757143431258289 0.796481798192035 0.869576852674509 0.729752362722814 0.759607816165738
"что" 0.830342985896687 0.820640597998634 1.10921084778891 0.827240711204359 1.05036487618136 0.823800025982561
"то" 0.938830009179671 0.952457501105172 0.776936232592231 0.490210770828204 0.468955616700562 1.09527957999954
"она" 0.325461069848953 0.446891451995338 0.346933789396531 0.679090977210204 0.696255532958488 0.398526635946109
"мы" 0.287907869481766 0.440461359160873 0.288297092597117 0.57359851850266 0.464170355305659 0.460617315084405
"за" 0.9513477426354 1.04006751597476 0.923527974590765 0.404628608741262 0.507237707859792 0.854558793186455
"по" 1.21839272302428 1.21609130731825 0.938187148790618 0.309572999068712 0.636439765522192 1.12374576828141
"но" 0.0125177334557289 0.0120564240646224 0.0439775225995602 0.719339748873356 0.260796746022251 0.0118449910971519
"а" 0.596678628056413 0.686412410079171 0.674322013193257 0.414369667840589 0.507237707859792 0.811955034885409
"к" 0.346323958941834 0.389824378089459 0.449548008795504 0.50792665303632 0.526378753439407 0.422980811114423
"они" 0.133522490194442 0.159948559257324 0.25897874419741 0.564553249339 0.265582007417155 0.201173800408079
"вы" 0.358841692397563 0.498332194671061 0.444661617395553 0.438722315588906 0.382820911592296 0.486790924444241
"все" 0.179420846198782 0.259614998191536 0.288297092597117 0.507712563825346 0.476133508792918 0.217030804618782
"свой" 0.354669114578987 0.41554474942732 0.381138529196189 0.446215437973003 0.346931451130518 0.38381592119642
"весь" 0.429775515313361 0.507977333922758 0.478866357195211 0.413245699482975 0.373250388802488 0.414765736643817
"во" 1.07235249937411 1.11481734517542 1.02614219398974 0.166721973046168 0.251226223232444 1.08267039592838
"у" 1.00976383209547 0.739460675963509 0.718299535792817 0.217247026836083 0.392391434382103 0.81749543394698
"да" 1.0222815655512 0.561025599807097 0.351820180796482 0.185240689795438 0.306256729273837 0.902320854062068
"твой" 0.129349912375866 0.169593698509022 0.244319569997557 0.418758496665561 0.342146189735614 0.169459791986672
"душа" 0.0876241341901026 0.156733512840092 0.224774004397752 0.350999261392222 0.428280894843881 0.191812436476459
"о" 0.0500709338229158 0.0329542257766346 0.0586366967994136 0.404200430319314 0.1938030864936 0.0397380346485094
"от" 0.200283735291663 0.198529116264116 0.180796481798192 0.338582087155718 0.418710372054073 0.18646308565839
"милый" 0.509054493866311 0.737049391150585 0.791595406792084 0.158800672240122 0.722574470630458 0.626256142201029
"тот" 0.275390136026037 0.338383635413736 0.434888834595651 0.284578083687473 0.318219882761096 0.327074592876193
"ли" 0.55495284987065 0.532090182052003 0.547275836794527 0.200226934563633 0.495274554372533 0.52500057314473
"друг" 0.275390136026037 0.245951050918298 0.395797703396042 0.288110555668547 0.669936595286518 0.259443514676326
