CONTROL_SOBOLEVSKY;KIREYEVSKY;PESENNIKI;RUSCORPORA;RUSSKIE_PESNI;SOBOLEVSKY_FULL
и;-0.652843443805565;-0.645200043211802;-0.282305491015071;1.92619011856374;0.219383222583556;-0.565224363114854
я;0.625035751828386;-0.324310369717386;1.06879479697223;-1.69876336123656;0.623878208349751;-0.294635026196417
в;-0.829945810782887;-0.685118331234717;-0.216568755281459;1.52632140423233;0.952410818302736;-0.747099325236005
не;0.519515491124441;0.0730104010580032;0.144538511662841;-1.80717531592246;1.19286639008902;-0.122755478011854
на;0.807132425770655;0.737837409519238;-0.0483658154323083;-1.49963372043928;-0.879645767093891;0.882675467675589
ты;-0.510483607334913;-0.0191032120050938;0.456534875218995;-1.48845447161918;1.52101316368298;0.0404932520572112
он;-0.90132165343282;-0.703916211525598;-0.178298311497325;1.84468189679778;0.326925570867673;-0.388071291209711
с;-1.001154436;0.0040202571822183;-0.439116059538126;0.66034322298501;1.62645697935444;-0.850549963983546
мой;0.888983663124786;0.187655328425068;0.758337621017531;-1.88819631385493;0.15450842178995;-0.101288720502403
как;-0.993128289993413;-1.04715661202979;0.0965961075416907;1.47157952903917;0.797676628354992;-0.325567362912648
быть;0.316561539102687;-0.580806376280613;0.221643651087228;1.71268491796804;-1.13954750889918;-0.530536222978158
что;-0.602458724152089;-0.675594591129406;1.49962615081879;-0.625843436411504;1.05604966254996;-0.651779061675745
то;0.586312471579772;0.638975622245035;-0.0393225605157916;-1.14736696626516;-1.22950705413729;1.19090848709344
она;-0.951386018336647;-0.214286764674337;-0.821043633895004;1.19519654346754;1.29938777640176;-0.507867902963317
мы;-1.17501548581744;0.190536886619884;-1.17153143212785;1.38228782054586;0.402763273585671;0.370958937193868
за;0.657708062941714;0.99870746407528;0.550781231573373;-1.44363744583283;-1.04925364577019;0.285694333012649
по;0.850099071049512;0.843814783455705;0.084964632601659;-1.63154060025554;-0.738992261480918;0.591654374629585
но;-0.580388396427471;-0.582018585258348;-0.46921485894318;1.91740023993285;0.2969873540562;-0.582765753360049
а;-0.13095629637075;0.504795500929216;0.419136662339974;-1.42259080133014;-0.764633206954371;1.39424814138607
к;-1.36648088602949;-0.735276548145623;0.131331533213269;0.978423451098718;1.24616905092779;-0.254166601064662
они;-0.83449856423196;-0.665432556259702;-0.0318673446977839;1.92310604159943;0.0103783388920006;-0.401685915301986
вы;-1.37622242948383;1.1435120016185;0.174015159223603;0.0667285481998986;-0.943065596214633;0.935032316656465
все;-1.03186620374427;-0.448906583256208;-0.240406306690021;1.35460226510676;1.12504295835408;-0.758466129770345
свой;-0.891579553939136;0.734241660304112;-0.184654099765817;1.55337161627508;-1.09823131887822;-0.113148303996012
весь;-0.13366472012633;1.46511783173399;0.869963876401026;-0.471605468884184;-1.28928216757556;-0.440529351548946
во;0.63938663271358;0.734090858528581;0.536329359961933;-1.38033194277879;-1.19187230184629;0.662397393420993
у;1.23880516960511;0.310345249165801;0.237659192515785;-1.48339793185895;-0.881797251265412;0.578385571837667
да;1.37380861231535;0.0182250668438923;-0.596608007838955;-1.08616789168727;-0.730514276258366;1.02125649662536
твой;-1.02439934824062;-0.669783929068868;-0.0113233619342742;1.52577687251113;0.850693637405305;-0.670963870672667
душа;-1.20136289911511;-0.656623849005064;-0.120310059702223;0.874631986344874;1.48378698700868;-0.380122165531159
о;-0.542411181110663;-0.65871252617534;-0.48421016763434;1.86376041790518;0.434192651790125;-0.612619194774964
от;-0.535216308766602;-0.55273344210544;-0.729766129835209;0.845476954050008;1.64543285828927;-0.673193931632028
милый;-0.349810300991665;0.624784933190601;0.857949304503499;-1.84701795509715;0.562909914397996;0.151184103996717
тот;-0.953218216902882;0.151274573533584;1.84334276742842;-0.792121880779272;-0.202265389311127;-0.0470118539687241
ли;0.579470208062675;0.412087494637288;0.523265075316287;-2.01755769337789;0.142552035944113;0.360182879417524
друг;-0.493443223057071;-0.674162976683954;0.245711062148593;-0.41535550071747;1.92858649189384;-0.591335853583938
из;-0.427300707572916;-0.329275568117228;1.2742842980314;0.125309601395472;-1.51791027143774;0.874892647701018
так;-0.937095821663718;-0.789993619102195;-0.0414557285559205;1.37533332235397;1.07044612612196;-0.677234279154103
кто;1.48660787527062;-0.538957057865094;-1.22032895603855;0.682851676764868;0.274450495316234;-0.684624033448082
сердце;-0.454548343860101;-0.5726452140041;-0.140581178909678;-0.0965761317607062;1.98070828249544;-0.71635741396086
один;-1.64053943152999;0.589905663073943;0.0650472832116844;0.610383931060939;1.05750170575727;-0.682299151573851
где;-0.0245533904063544;-0.391833210902425;-0.85347609118534;1.54757387964069;0.778721586545409;-1.05643277369198
уж;0.370850978990044;1.18135425459404;-0.964478623472793;-1.37141364123231;-0.0257655149135869;0.809452546034603
ни;-0.335197333799979;1.93479039642248;0.0806793756678864;-0.717186340508505;-0.199057611404165;-0.764028486377724
нет;-0.821448357652758;-0.6740914242462;-0.3960279996049;0.659750552111848;1.73841196361548;-0.506594734223467
под;-0.448161919285059;1.35835701628583;-0.251298462229372;-0.516919848821787;-1.21413784936944;1.07216106341984
день;-0.882216268353015;-0.617044150735927;-0.370233584971195;1.22887465911201;1.31744270374088;-0.676823358792752
любить;-0.350368014346462;0.760251309368073;1.38128402893543;-1.53447773720955;-0.0850554495872731;-0.171634137160216
когда;-0.735727965348413;-0.237521517467227;-0.213265296840335;1.97934564854485;-0.146709394106016;-0.646121474782856
же;-0.146657914053969;0.407700908493962;-1.89754214599868;0.474078083810041;0.975699970168434;0.186721097580217
себя;1.1626426119944;-0.266006016428316;1.34807299036436;-0.965506020920646;-0.569532488773787;-0.709671076236013
молодец;0.0887068626440126;0.614239312341649;0.0450378290799195;-1.80133361760825;-0.110991739138362;1.16434135268103
со;0.150568853658694;0.626768950973767;0.599072477019091;-1.58132697709645;-0.820583210158978;1.02549990560387
рука;0.805117587863498;-0.927459024838062;0.493426143678695;1.24807004393512;-1.24525281636871;-0.373901934270545
там;-0.823205664871501;-0.629029538318578;-0.463989426780222;1.40951193523069;1.14673905148363;-0.640026356744016
сказать;-1.41206487802186;0.664721719305491;1.50265123954464;-0.501086447601303;-0.234010585241897;-0.0202110479850694
наш;-1.46140395456242;0.343232127479474;-0.315525166169574;0.927337344706999;-0.65752854289071;1.16388819143623
любовь;-1.07706133031392;-0.423605025951199;-0.0392393889795312;1.35298869539599;1.04501265934139;-0.858095609492729
бы;1.86579770791884;-0.580119250774142;0.180117966803678;-1.01370669635569;-0.125984234908718;-0.326105492683965
без;-0.0435623303009661;-0.311407333119936;-0.99888305550622;-0.0872885109450409;1.91583149259391;-0.474690262721743
его;-1.09724199031038;-0.23894406631422;-0.24410299512981;1.90145589276545;-0.238912513525384;-0.082254327485652
вот;-1.11107514963086;0.0391257992556074;-0.839277365712055;1.69593408365633;-0.175396800828577;0.390689433259551
сам;0.596378912442181;0.406769245525131;0.81220195754014;-1.0101824718131;-1.51491984577893;0.70975220208457
для;-0.564476315244278;-0.748603870528774;-0.5697345866378;1.2949128283691;1.28054806667688;-0.692646122635129
