,Source,Target,Weight,Type
1,KIREEVSKY.n,PESENNIKI.n,4,undirected
2,KIREEVSKY.n,RUSSKIE_PESNI.n,2,undirected
3,KIREEVSKY.n,SOBOLEVSKY.n,6,undirected
4,PESENNIKI.n,KIREEVSKY.n,4,undirected
5,PESENNIKI.n,RUSCORPORA.n,2,undirected
6,PESENNIKI.n,RUSSKIE_PESNI.n,4,undirected
7,PESENNIKI.n,SOBOLEVSKY.n,5,undirected
8,RUSCORPORA.n,PESENNIKI.n,2,undirected
9,RUSCORPORA.n,RUSSKIE_PESNI.n,5,undirected
10,RUSCORPORA.n,SOBOLEVSKY.n,1,undirected
11,RUSSKIE_PESNI.n,KIREEVSKY.n,2,undirected
12,RUSSKIE_PESNI.n,PESENNIKI.n,4,undirected
13,RUSSKIE_PESNI.n,RUSCORPORA.n,5,undirected
14,RUSSKIE_PESNI.n,SOBOLEVSKY.n,1,undirected
15,SOBOLEVSKY.n,KIREEVSKY.n,6,undirected
16,SOBOLEVSKY.n,PESENNIKI.n,5,undirected
17,SOBOLEVSKY.n,RUSCORPORA.n,1,undirected
18,SOBOLEVSKY.n,RUSSKIE_PESNI.n,1,undirected
