"KIREEVSKY.n" "PESENNIKI.n" "RUSCORPORA.n" "RUSSKIE_PESNI.n" "SOBOLEVSKY.n"
"и" 0.836423766636164 1.37755849738655 4.55207686390852 2.10770592597909 0.958575699399219
"в" 1.53718955192731 1.82208978555029 2.8225648600065 2.5096294169717 1.50166671442353
"не" 2.74767615469826 2.79908162766841 1.71512276874277 3.36610923706309 2.65394423908995
"я" 1.82937597328581 2.38386009476821 1.31661501707135 1.82779492332352 1.82966083077834
"на" 2.07259708776831 1.78301011186557 1.21954058134626 1.4689346635087 2.13549576396649
"с" 1.13663728748254 1.04538127106639 1.25636009484199 1.4665422617766 0.961250083574505
"как" 0.681500746520252 0.810903228958038 0.953815845298793 0.889973444340774 0.763536682044376
"ты" 1.22332996195155 1.32870890528064 0.717186989168926 1.63640278475562 1.28313132181438
"он" 0.464769060347734 0.483610961848469 0.873405413526516 0.495227158544463 0.516538200712532
"что" 0.593202652153671 0.967221923696937 0.7385592355084 0.913897461661762 0.760098188104721
"мне" 0.645378798824833 0.849982902642763 0.546579329652087 1.21773248163832 0.633829049542967
"за" 1.03790396378173 0.923257290801622 0.39977739006783 0.507189167204957 0.854465744004126
"но" 0.0144487790781679 0.0439646328953153 0.710997501986455 0.260771788798775 0.0118437013476986
"по" 1.15750774615101 0.937912168433394 0.305877050333756 0.636378860738295 1.124387518267
"то" 0.803512658735892 0.591080064481462 0.363751400569856 0.382784277135817 1.01970448054863
"а" 0.686317006212975 0.674124371061502 0.409458382840414 0.507189167204957 0.81186662464063
"к" 0.387708905264172 0.449416247374334 0.503041312975387 0.526328381061748 0.422934754577495
"во" 1.06037984234777 1.02584143422402 0.164735581933469 0.25120218187038 1.08255250866787
"rhyme" 0 0 0.527746360105422 0 0
"zone" 0 0 0.527746360105422 0 0
"у" 0.73207147329384 0.718089003956817 0.214886298591442 0.392353884064212 0.817406420432295
"меня" 0.501693717991941 0.815788188168629 0.243082851311589 0.662695279791383 0.663056248030029
"да" 0.558686124355825 0.351717063162523 0.182933732281932 0.306227421708653 0.902222604277104
"все" 0.502496427940728 0.405451614479019 0.31862633589765 0.389961482332113 0.404787147673763
"его" 0.173385348938015 0.293097552635436 0.389726086096296 0.234455369745688 0.234581697660869
"мой" 0.467177190194095 0.595965023692052 0.292281339172259 0.466518337759277 0.442228526127778
"о" 0.0321083979514842 0.0586195105270871 0.39972448846798 0.193784540300007 0.0401157626293017
"от" 0.168569089245292 0.180743490791852 0.334655520652256 0.418670303117299 0.186442782505707
"ли" 0.530591276148277 0.547115431586146 0.197746180239983 0.495227158544463 0.524943408120576
"из" 0.251248213970364 0.32729226710957 0.271861321630089 0.200961745496304 0.309273427127807
"так" 0.0569924063638845 0.156318694738899 0.340263090236375 0.303835019976554 0.0712532355272835
"их" 0.0168569089245292 0.0439646328953153 0.360471501379145 0.129189693533338 0.019675826432467
"где" 0.163752829552569 0.141663817107127 0.295667041562671 0.248809780138281 0.128370440413765
"уж" 0.431857952447463 0.234478042108348 0.191397988257961 0.327759037297543 0.410326943465429
"вы" 0.429449822601101 0.337062185530751 0.179706734691071 0.263164190530874 0.39046008959187
"она" 0.24402382443128 0.190513409213033 0.236523052930167 0.210531352424699 0.229041901869204
