;KIREEVSKY.n;PESENNIKI.n;RUSCORPORA.n;RUSSKIE_PESNI.n;SOBOLEVSKY.n
и;-0.7393264577;-0.385291493;1.691622876;0.0924041795;-0.6594091048
в;-0.8406915395;-0.3630393261;1.3143167351;0.7896618231;-0.9002476926
не;0.1533038193;0.2396299395;-1.5806813495;1.1918494357;-0.0041018449
я;-0.0214177536;1.447379375;-1.3796925734;-0.0256058657;-0.0206631822
на;0.8599293377;0.1202855608;-1.3188908056;-0.6819050423;1.0205809494
с;-0.1855760717;-0.6483181992;0.4215158086;1.4873101191;-1.0749316568
как;-1.3015794182;-0.0850146287;1.2585643641;0.6583562721;-0.5303265894
ты;-0.0434617992;0.2741050251;-1.5687590871;1.2013620752;0.136753786
он;-0.5910585204;-0.4818124306;1.7782312116;-0.4144612628;-0.2908989978
что;-1.3507350182;1.157794699;-0.3758352291;0.8001500324;-0.231374484
мне;-0.4947411828;0.2645205576;-0.8613743809;1.6291959487;-0.5376009426
за;1.0619821817;0.6469895302;-1.2478784706;-0.8590743558;0.3979811145
но;-0.6477486108;-0.5491757188;1.6784867233;0.1748862889;-0.6564486826
по;0.9036214049;0.293242232;-1.4635375569;-0.5448878109;0.8115617309
то;0.6101324823;-0.146301655;-0.9557780086;-0.8880053694;1.3799525507
а;0.4308827951;0.3542169355;-1.3099717544;-0.6954520457;1.2203240694
к;-1.2337647717;-0.1489032274;0.7938658093;1.2032700031;-0.6144678132
во;0.7368797304;0.6627741058;-1.1848150135;-0.9992922362;0.7844534136
у;0.6081636198;0.5540383186;-1.3938292094;-0.7068628173;0.9384900882
меня;-0.3477076357;1.097491673;-1.5376179374;0.3930865135;0.3947473866
да;0.3490457205;-0.3856496352;-0.9847939161;-0.5471280133;1.5685258441
все;1.4984715461;0.0181072163;-1.306363827;-0.2181860824;0.007971147
его;-1.1241061926;0.3439666821;1.5289563867;-0.3751830399;-0.3736338363
мой;0.1326458509;1.3236829111;-1.4848007244;0.1265527469;-0.0980807845
о;-0.7186851256;-0.5497175809;1.6243017267;0.3117514783;-0.6676504984
от;-0.7921139622;-0.6840599385;0.6819878346;1.4276618835;-0.6334758174
ли;0.4851354445;0.597306097;-1.7743114433;0.2450737869;0.4467961149
из;-0.419189015;1.1075390489;-0.005341927;-1.4287848938;0.7457767869
так;-0.9846973097;-0.2249779848;1.181961852;0.9033336117;-0.8756201693
их;-0.6697025704;-0.482883439;1.6983966387;0.1044647211;-0.6502753503
где;-0.4372745024;-0.7400637313;1.3709639882;0.7286593996;-0.9222851541
уж;1.0674779239;-0.8021759369;-1.2102457798;0.0814153693;0.8635284236
вы;1.0927990404;0.1706214928;-1.400039565;-0.5669996215;0.7036186532
она;1.0131661653;-1.4627279913;0.6661100594;-0.5365100126;0.3199617793
нет;-0.8160410655;-0.5423249427;0.460655517;1.5499490354;-0.6522385441
ни;1.6905960642;0.0180252853;-0.7326058353;-0.2344869643;-0.7415285499
под;1.0081739662;-0.2591287173;-0.5858050179;-1.2129791116;1.0497388806
тебя;-0.5803257441;0.739699918;-1.3047190317;1.1882481304;-0.0429032725
когда;-0.4199490134;-0.3278443337;1.7576627986;-0.2632073472;-0.7466621043
мы;-0.0970435208;-1.5490194734;1.130714739;-0.0421704094;0.5575186647
же;-0.0025241611;-1.672778432;0.4795131209;0.9563057307;0.2394837415
был;-0.5110692562;-0.1135013036;1.7562915651;-0.5438447036;-0.5878763017
со;0.3857098141;0.6391848823;-1.385649798;-0.6733124226;1.0340675242
там;-0.8011223432;-0.6021223847;1.1965982232;0.9815182558;-0.7748717511
без;-0.3062592576;-0.8922377711;-0.0908751936;1.7101949948;-0.4208227724
бы;-0.4703832526;1.2437984413;-1.3953688105;0.5245625807;0.0973910411
ее;-0.6518273485;-0.914352769;1.3639385918;0.7562164895;-0.5539749637
вот;-0.1910513949;-1.1411986352;1.5646079476;-0.4212788677;0.1889209502
